Source,Meand13C,SDd13C,Meand15N,SDd15N
Ice.Algae,-17.7,0.2,5.1,0.3
Marine.POM,-22.0,0.3,7.6,0.3
Terrestrial.POM,-27.3,1.5,4.2,1.9
